,tempo,energy_std,label
0,123.046875,0.014984966,0
1,123.046875,0.017011812,0
2,67.99958881578948,0.06923103,0
3,135.99917763157896,0.058194973,1
4,103.359375,0.05216697,1
5,95.703125,0.0693891,1
6,161.4990234375,0.011698711,1
7,95.703125,0.047080055,0
8,99.38401442307692,0.07590261,1
9,57.421875,0.023913976,1
10,117.45383522727272,0.084612824,0
11,129.19921875,0.0619381,0
12,161.4990234375,0.037987456,1
13,95.703125,0.02676132,1
14,99.38401442307692,0.07590261,1
15,123.046875,0.014984966,0
16,46.98153409090909,0.040311795,1
17,129.19921875,0.089252666,0
18,117.45383522727272,0.07744254,0
19,103.359375,0.071259625,1
20,112.34714673913044,0.12239849,0
21,129.19921875,0.0619381,0
22,143.5546875,0.03464012,0
23,129.19921875,0.058273133,0
24,112.34714673913044,0.10505248,1
25,129.19921875,0.12128109,0
26,103.359375,0.05216697,1
27,112.34714673913044,0.12239849,0
28,117.45383522727272,0.011819636,1
29,112.34714673913044,0.12239849,0
30,123.046875,0.014984966,0
31,123.046875,0.09304019,1
32,95.703125,0.02676132,1
33,151.99908088235293,0.032676898,1
34,80.74951171875,0.0731974,1
